SUBJECT,anthropology,art,biology,chemistry,economics,english,french,geology,german,history,italian,latin,math,music,philosophy,physical-education,physics,political-science,psychology,sociology,spanish,theatre
0,christmas,sculpture,genetic,chem,econ,paraphrase,vous,tectonics,frei,hist,katerinov,bayerle,tutoring,archetto,meditations,vigorous,erasing,ucsd,psychodynamic,soc,curso,rob
1,neandertals,stokstad,genetics,aqueous,maddox,informing,fren,sedimentary,ferien,aftermath,clotilde,hbayerl,exponential,concert,hume,initiate,frosso,gospel,psypos,mcquaide,repaso,mowen
2,archaeology,marilyn,cells,bonding,monopoly,aivey,devoir,rocks,und,criticizing,boriosi,fianl,logarithmic,marchetto,hackett,gym,reproducible,enemy,improperly,findings,tulo,onstage
3,kalahari,studio,mutation,guilty,microeconomics,ivey,sur,geologic,schoene,dleinwe,katerin,mowethfr,trigonometric,cough,nicomachean,fitness,planner,lenin,conviction,stratification,para,accommodated
4,kinship,diverging,transport,mole,aplia,adriane,cours,metamorphic,deutschkurs,youngblood,vacanze,mowefr,thoughts,melody,phil_ox,gymnasium,reproducibility,mussolini,patti,deviance,composici,husband
5,anthro,interpretative,outcrops,reactions,unemployment,persuasively,mercredi,minerals,lehrbuch,sashmor,istruzione,whiteley,predicate,governs,enquiry,worn,seitaridou,donald,infancy,ehrenreich,hispanic,instill
6,abu,sketchbook,outcrop,stoichiometry,athletes,disruption,pour,weathering,wie,strives,italiano,gould,trigonometry,choral,unjust,jewelry,momentum,democracies,psychologist,medicalization,por,script
7,biocultural,patron,respiration,chemist,oligopoly,liveliness,jours,sanctioned,arbeitsbuch,ashmore,introduzione,conspicuous,theorem,poise,phil,fax,serway,election,freud,dimed,enero,imaginatively
8,anthropologist,cubism,membrane,expects,monopolistic,pertinence,expos,mineral,wiederholung,hst,albergo,ovid,binomial,piano,eewilso,adhering,eseitar,unfamiliar,mindedness,notions,introducci,talented
9,symbols,camille,chromosome,thermochemistry,scholastic,drama,lundi,igneous,ueber,constituting,letture,punctual,emergencies,skirt,mistaken,wellness,electricity,jeffrey,unguarded,interactionism,abril,clog
10,anthropology,cottrell,inheritance,configuration,macroeconomics,adherence,semaine,glaciation,abschlusspruefungen,impermissible,esame,linguist,unaided,accompanist,kant,sweat,optics,hardship,adolescence,mcknight,febrero,proximity
11,goldschmidt,receptivity,knisely,carbon,mankiw,midsummer,tre,volcanism,kapitel,scrupulous,citta,metamorphoses,optimization,receipt,phaedo,disclose,magnetism,electoral,proclaims,homicide,presentaci,finalize
12,aping,egg,mitosis,programmable,converted,tangential,avril,henderson,ich,archival,varie,informs,antiderivatives,eraser,realizing,offensive,vuille,cutting,psychologists,orgins,leer,experiencing
13,caveman,dialogic,meiosis,chromatography,preclude,typo,bureau,deformation,zum,instant,viaggio,rapid,polynomial,ticket,decipher,pant,torque,bargaining,testable,looks,puntos,clock
14,genital,fauvism,biodiversity,hybridization,ninkovic,refusing,detectable,crustal,dien,mississippi,testi,translating,wherever,repertoire,kress,probation,rocket,partisan,deception,cockerham,trabajo,entertain
15,schick,hardback,photosynthesis,spectroscopy,taxation,persuasiveness,mardi,hydrocarbon,stadt,lowing,capitolo,save,separable,chorale,influencing,taker,emailing,madison,humanistic,lindsey,todo,unapproved
16,hijras,transportable,nitya,organic,jninkov,neglect,jsvient,earthquakes,diens,footnoted,merc,latin,nit,chamber,unfortunately,inappropriately,weighting,ssb,abnormal,mckinlay,lengua,experiential
17,hodder,globe,vascular,solvent,curved,haphazard,printemps,busch,fruehlingssemester,awake,corso,consequently,inverse,intonation,philosophers,reoccurring,farhan,pols,prenatal,outlaw,otro,mysteries
18,knauft,criticality,njacob,gases,breech,harassment,svienty,volcanoes,sommerferien,curse,eserciziario,kept,poisson,blouse,groundwork,endurance,llewellyn,bshapir,differentiating,gabe,sobre,warmups
19,mayr,tempera,transmission,processed,jasminka,proceeding,vrier,deserve,den,sponsorship,vacanza,henry,sigma,ankle,dictated,assess,segre,votes,therapies,catches,las,suzan
