miner_with_layout
-------------------------------------
Wed Jul  2 10:37:18 2014    statsfile

         68392167 function calls (67604268 primitive calls) in 74.971 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   703524    0.501    0.000    0.501    0.000 /Library/Python/2.7/site-packages/pdfminer/pdffont.py:498(get_height)
    49341    0.061    0.000    0.061    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:193(__init__)
      262    0.001    0.000    0.001    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:390(set_current_state)
  615/614    0.001    0.000    0.023    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:159(get_font)
     5312    0.031    0.000    0.082    0.000 /Library/Python/2.7/site-packages/pdfminer/utils.py:99(csort)
    35007    0.124    0.000    0.162    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:583(dist)
      349    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:578(do_g)
     1071    0.002    0.000    0.002    0.000 {method 'read' of 'cStringIO.StringI' objects}
     3780    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
     2046    0.003    0.000    0.336    0.000 /Library/Python/2.7/site-packages/pdfminer/pdftypes.py:154(dict_value)
      187    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:583(do_RG)
    81834    0.110    0.000    0.192    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:281(do_keyword)
    29664    0.044    0.000    0.055    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:531(start_type)
        1    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/cmapdb.py:166(__init__)
   223519    0.177    0.000    0.269    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:525(add_results)
        1    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/cmapdb.py:112(__init__)
     6212    0.033    0.000    0.033    0.000 {method 'seek' of 'file' objects}
     5078    0.001    0.000    0.001    0.000 {method 'remove' of 'set' objects}
  1748748    1.073    0.000    1.325    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:230(fillbuf)
      234    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      394    0.001    0.000    0.001    0.000 /Library/Python/2.7/site-packages/pdfminer/pdffont.py:702(char_disp)
     1512    0.003    0.000    0.028    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:215(fillfp)
    17744    2.050    0.000   20.463    0.001 /Library/Python/2.7/site-packages/pdfminer/pdfdevice.py:84(render_string_horizontal)
      472    0.001    0.000    0.001    0.000 /Library/Python/2.7/site-packages/pdfminer/pdftypes.py:208(get_any)
        5    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/encodingdb.py:50(get_encoding)
